AreaCode,AreaName,AreaType
S01008667,Meadows and Southside - 02,Data Zones
S01008668,Meadows and Southside - 03,Data Zones
S01008665,Tollcross - 07,Data Zones
S01008666,Meadows and Southside - 01,Data Zones
S01008670,Meadows and Southside - 05,Data Zones
S01008671,Meadows and Southside - 06,Data Zones
S01008669,Meadows and Southside - 04,Data Zones
S01008660,Tollcross - 02,Data Zones
S01008661,Tollcross - 03,Data Zones
S01008658,Dalry and Fountainbridge - 08,Data Zones
S01008659,Tollcross - 01,Data Zones
S01008663,Tollcross - 05,Data Zones
S01008664,Tollcross - 06,Data Zones
S01008662,Tollcross - 04,Data Zones
S01008745,Northfield and Piershill - 03,Data Zones
S01008746,Northfield and Piershill - 04,Data Zones
S01008743,Northfield and Piershill - 01,Data Zones
S01008744,Northfield and Piershill - 02,Data Zones
S01008749,Craigentinny - 03,Data Zones
S01008750,Craigentinny - 04,Data Zones
S01008747,Craigentinny - 01,Data Zones
S01008748,Craigentinny - 02,Data Zones
S01008738,Duddingston and Portobello South - 05,Data Zones
S01008739,Mountcastle - 01,Data Zones
S01008736,Duddingston and Portobello South - 03,Data Zones
S01008737,Duddingston and Portobello South - 04,Data Zones
S01008741,Mountcastle - 03,Data Zones
S01008742,Mountcastle - 04,Data Zones
S01008740,Mountcastle - 02,Data Zones
S01008760,Restalrig and Lochend - 05,Data Zones
S01008761,Restalrig and Lochend - 06,Data Zones
S01008758,Restalrig and Lochend - 03,Data Zones
S01008759,Restalrig and Lochend - 04,Data Zones
S01008763,Leith (Hermitage and Prospect Bank) - 02,Data Zones
S01008764,Leith (Hermitage and Prospect Bank) - 03,Data Zones
S01008762,Leith (Hermitage and Prospect Bank) - 01,Data Zones
S01008753,Restalrig (Loganlea) and Craigentinny West - 03,Data Zones
S01008754,Restalrig (Loganlea) and Craigentinny West - 04,Data Zones
S01008751,Restalrig (Loganlea) and Craigentinny West - 01,Data Zones
S01008752,Restalrig (Loganlea) and Craigentinny West - 02,Data Zones
S01008756,Restalrig and Lochend - 01,Data Zones
S01008757,Restalrig and Lochend - 02,Data Zones
S01008755,Restalrig (Loganlea) and Craigentinny West - 05,Data Zones
S01008716,"Bingham, Magdalene and The Christians - 05",Data Zones
S01008717,"Jewel, Brunstane and Newcraighall - 01",Data Zones
S01008714,"Bingham, Magdalene and The Christians - 03",Data Zones
S01008715,"Bingham, Magdalene and The Christians - 04",Data Zones
S01008720,"Jewel, Brunstane and Newcraighall - 04",Data Zones
S01008721,"Jewel, Brunstane and Newcraighall - 05",Data Zones
S01008718,"Jewel, Brunstane and Newcraighall - 02",Data Zones
S01008719,"Jewel, Brunstane and Newcraighall - 03",Data Zones
S01008705,Craigmillar - 05,Data Zones
S01008709,Niddrie - 04,Data Zones
S01008702,Craigmillar - 02,Data Zones
S01008704,Craigmillar - 04,Data Zones
S01008712,"Bingham, Magdalene and The Christians - 01",Data Zones
S01008713,"Bingham, Magdalene and The Christians - 02",Data Zones
S01008710,Niddrie - 05,Data Zones
S01008731,Portobello - 04,Data Zones
S01008732,Portobello - 05,Data Zones
S01008729,Portobello - 02,Data Zones
S01008730,Portobello - 03,Data Zones
S01008734,Duddingston and Portobello South - 01,Data Zones
S01008735,Duddingston and Portobello South - 02,Data Zones
S01008733,Portobello - 06,Data Zones
S01008724,Joppa - 03,Data Zones
S01008725,Joppa - 04,Data Zones
S01008722,Joppa - 01,Data Zones
S01008723,Joppa - 02,Data Zones
S01008727,Joppa - 06,Data Zones
S01008728,Portobello - 01,Data Zones
S01008726,Joppa - 05,Data Zones
S01008072,Westerton East - 02,Data Zones
S01008073,Westerton East - 03,Data Zones
S01008070,Westerton West - 03,Data Zones
S01008071,Westerton East - 01,Data Zones
S01008076,Kessington West - 01,Data Zones
S01008077,Kessington West - 02,Data Zones
S01008074,Westerton East - 04,Data Zones
S01008075,Westerton East - 05,Data Zones
S01008065,South Castlehill and Thorn - 03,Data Zones
S01008066,South Castlehill and Thorn - 04,Data Zones
S01008063,South Castlehill and Thorn - 01,Data Zones
S01008064,South Castlehill and Thorn - 02,Data Zones
S01008068,Westerton West - 01,Data Zones
S01008069,Westerton West - 02,Data Zones
S01008067,South Castlehill and Thorn - 05,Data Zones
S01008087,Bishopbriggs North and Kenmure - 01,Data Zones
S01008088,Bishopbriggs North and Kenmure - 02,Data Zones
S01008085,Torrance and Balmore - 02,Data Zones
S01008086,Torrance and Balmore - 03,Data Zones
S01008091,Bishopbriggs North and Kenmure - 05,Data Zones
S01008092,Bishopbriggs North and Kenmure - 06,Data Zones
S01008089,Bishopbriggs North and Kenmure - 03,Data Zones
S01008090,Bishopbriggs North and Kenmure - 04,Data Zones
S01008080,Kessington East - 01,Data Zones
S01008081,Kessington East - 02,Data Zones
S01008078,Kessington West - 03,Data Zones
S01008079,Kessington West - 04,Data Zones
S01008083,Kessington East - 04,Data Zones
S01008084,Torrance and Balmore - 01,Data Zones
S01008082,Kessington East - 03,Data Zones
S01008043,Barloch - 03,Data Zones
S01008044,Barloch - 04,Data Zones
S01008041,Barloch - 01,Data Zones
S01008042,Barloch - 02,Data Zones
S01008047,Keystone and Dougalston - 03,Data Zones
S01008048,Keystone and Dougalston - 04,Data Zones
S01008045,Keystone and Dougalston - 01,Data Zones
S01008046,Keystone and Dougalston - 02,Data Zones
S01008036,West Clober and Mains Estate - 04,Data Zones
S01008037,East Clober and Mains Estate - 01,Data Zones
S01008034,West Clober and Mains Estate - 02,Data Zones
S01008035,West Clober and Mains Estate - 03,Data Zones
S01008039,East Clober and Mains Estate - 03,Data Zones
S01008040,East Clober and Mains Estate - 04,Data Zones
S01008038,East Clober and Mains Estate - 02,Data Zones
S01008058,North Castlehill and Thorn - 01,Data Zones
S01008059,North Castlehill and Thorn - 02,Data Zones
S01008056,Kilmardinny West - 03,Data Zones
S01008057,Kilmardinny West - 04,Data Zones
S01008061,North Castlehill and Thorn - 04,Data Zones
S01008062,North Castlehill and Thorn - 05,Data Zones
S01008060,North Castlehill and Thorn - 03,Data Zones
S01008051,Kilmardinny East - 02,Data Zones
S01008052,Kilmardinny East - 03,Data Zones
S01008049,Keystone and Dougalston - 05,Data Zones
S01008050,Kilmardinny East - 01,Data Zones
S01008054,Kilmardinny West - 01,Data Zones
S01008055,Kilmardinny West - 02,Data Zones
S01008053,Kilmardinny East - 04,Data Zones
S01008132,Kirkintilloch West - 02,Data Zones
S01008133,Kirkintilloch West - 03,Data Zones
S01008130,Kirkintilloch South - 04,Data Zones
S01008131,Kirkintilloch West - 01,Data Zones
S01008136,Hillhead - 01,Data Zones
S01008137,Hillhead - 02,Data Zones
S01008134,Kirkintilloch West - 04,Data Zones
S01008135,Kirkintilloch West - 05,Data Zones
S01008125,Lenzie South - 03,Data Zones
S01008126,Lenzie South - 04,Data Zones
S01008123,Lenzie South - 01,Data Zones
S01008124,Lenzie South - 02,Data Zones
S01008128,Kirkintilloch South - 02,Data Zones
S01008129,Kirkintilloch South - 03,Data Zones
S01008127,Kirkintilloch South - 01,Data Zones
S01008149,Harestanes - 01,Data Zones
S01008150,Harestanes - 02,Data Zones
S01008145,Twechar and Harestanes East - 01,Data Zones
S01008148,Twechar and Harestanes East - 04,Data Zones
S01008153,Milton of Campsie - 01,Data Zones
S01008154,Milton of Campsie - 02,Data Zones
